case_id,min,max,length,unnormal_indices
CP_00_06010445_00097,-200.0,561.0,64,
CP_00_06010648_00150,-99.0,555.0,140,
CP_00_06022148_00093,-209.0,549.0,49,
CP_00_06030910_00092,-99.0,542.0,91,
CP_00_06041908_00150,-99.0,420.0,51,
CP_00_06050243_00090,-202.0,543.0,47,
CP_00_06050414_00093,-249.0,470.0,85,
CP_00_06050748_00092,-99.0,502.0,68,
CP_00_06050804_00023,-271.0,587.0,76,
CP_00_06051125_00087,-278.0,630.0,78,
CP_00_06051256_00090,-285.0,642.0,73,
CP_00_06051829_00090,-222.0,520.0,49,
CP_00_06052128_00087,-282.0,621.0,84,
CP_00_06052156_00090,-203.0,605.0,48,
CP_00_06052310_00088,-263.0,604.0,107,
CP_00_06060503_00090,-184.0,703.0,59,
CP_00_06060559_00150,-99.0,481.0,73,
CP_00_06060814_00088,-259.0,690.0,78,
CP_00_06061524_00090,-249.0,685.0,52,
CP_00_06080730_00090,-278.0,553.0,124,
CP_00_06082332_00093,-169.0,529.0,49,
CP_00_06090204_00087,-279.0,547.0,63,
CP_00_06090516_00091,-249.0,510.0,51,
CP_00_06090739_00093,-139.0,438.0,49,
CP_00_06090807_00092,-99.0,650.0,118,
CP_00_06090952_00090,-200.0,563.0,55,
CP_00_06091218_00092,-99.0,568.0,64,
CP_00_06092149_00090,-217.0,548.0,57,
CP_00_06100018_00087,-262.0,602.0,153,
CP_00_06100053_00091,-240.0,529.0,117,
CP_00_06100442_00088,-275.0,597.0,123,
CP_00_06100515_00093,-196.0,455.0,51,
CP_00_06100739_00150,-99.0,530.0,54,
CP_00_06100757_00088,-286.0,525.0,51,
CP_00_06100814_00087,-261.0,543.0,90,
CP_00_06100829_00117,-99.0,510.0,72,
CP_00_06101033_00092,-99.0,558.0,128,
CP_00_06101219_00023,-222.0,551.0,50,
CP_00_06101345_00094,-227.0,677.0,103,
CP_00_06101544_00090,-191.0,570.0,47,
CP_00_06101706_00092,-99.0,581.0,52,
CP_00_06111051_00092,-99.0,510.0,49,
CP_00_06120014_00092,-99.0,493.0,61,
CP_00_06120015_00092,-99.0,530.0,76,
CP_00_06120155_00074,-261.0,618.0,142,
CP_00_06120643_00092,-99.0,487.0,48,
CP_00_06121251_00087,-196.0,585.0,52,
CP_00_06121334_00091,-213.0,627.0,51,
CP_00_06122208_00087,-299.0,682.0,163,
CP_00_06130014_00093,-158.0,602.0,77,
CP_00_06130043_00023,-257.0,593.0,63,
CP_00_06130208_00075,-255.0,528.0,51,
CP_00_06130326_00088,-268.0,588.0,73,
CP_00_06131435_00090,-172.0,569.0,47,
CP_00_06131542_00087,-275.0,576.0,52,
CP_00_06140630_00093,-230.0,565.0,49,
CP_00_06141612_00094,-232.0,607.0,50,
CP_00_06150355_00091,-240.0,548.0,113,
CP_00_06150506_00087,-264.0,622.0,88,
CP_00_06150507_00088,-248.0,584.0,51,
CP_00_06150544_00023,-297.0,623.0,101,
CP_00_06151015_00092,-99.0,569.0,63,
CP_00_06151214_00090,-220.0,599.0,172,
CP_00_06160439_00091,-235.0,525.0,99,
CP_00_06162054_00091,-209.0,520.0,55,
CP_00_06162321_00074,-226.0,559.0,51,
CP_00_06170124_00038,-268.0,517.0,49,
CP_00_06170448_00074,-246.0,553.0,52,
CP_00_06171038_00074,-268.0,515.0,62,
CP_00_06171510_00087,-207.0,611.0,52,
CP_00_06180247_00090,-185.0,502.0,57,
CP_00_06180422_00093,-238.0,491.0,49,
CP_00_06181045_00150,-99.0,405.0,50,
CP_00_06190009_00150,-99.0,601.0,243,
CP_00_06190247_00090,-225.0,580.0,92,
CP_00_06190726_00090,-211.0,484.0,46,
CP_00_06190802_00092,-99.0,560.0,132,
CP_00_06190806_00092,-99.0,525.0,62,
CP_00_06190823_00093,-279.0,496.0,49,
CP_00_06191546_00092,-99.0,553.0,74,
CP_00_06200021_00092,-99.0,525.0,124,
CP_00_06200035_00093,-209.0,508.0,54,
CP_00_06200036_00092,-99.0,578.0,54,
CP_00_06200243_00093,-266.0,646.0,147,
CP_00_06200243_00097,-218.0,522.0,49,
CP_00_06200348_00087,-232.0,560.0,52,
CP_00_06200537_00097,-187.0,581.0,148,
CP_00_06200650_00093,-194.0,567.0,54,
CP_00_06200818_00077,-244.0,501.0,101,
CP_00_06200852_00097,-196.0,536.0,50,
CP_00_06200941_00092,-99.0,505.0,48,
CP_00_06201042_00090,-213.0,514.0,48,
CP_00_06201308_00087,-293.0,612.0,52,
CP_00_06201653_00088,-257.0,709.0,52,
CP_00_06202032_00090,-247.0,611.0,70,
CP_00_06202256_00092,-99.0,565.0,133,
CP_00_06210035_00087,-266.0,555.0,58,
CP_00_06210116_00093,-198.0,606.0,72,
CP_00_06210203_00091,-279.0,634.0,52,
CP_00_06210540_00077,-189.0,491.0,51,
CP_00_06210813_00093,-145.0,494.0,49,
CP_00_06211626_00090,-183.0,689.0,59,
CP_00_06211933_00093,-191.0,714.0,49,
CP_00_06212306_00092,-99.0,565.0,53,
CP_00_06220402_00090,-172.0,484.0,58,
CP_00_06220629_00087,-293.0,517.0,52,
CP_00_06220905_00094,-283.0,582.0,49,
CP_00_06220909_00087,-240.0,588.0,51,
CP_00_06221204_00093,-197.0,563.0,93,
CP_00_06221221_00090,-213.0,606.0,61,
CP_00_06221749_00087,-246.0,519.0,52,
CP_00_06222058_00090,-191.0,570.0,73,
CP_00_06230417_00088,-222.0,520.0,51,
CP_00_06230610_00094,-205.0,663.0,49,
CP_00_06230938_00092,-99.0,570.0,90,
CP_00_06231755_00091,-319.0,665.0,70,
CP_00_06240014_00090,-205.0,530.0,79,
CP_00_06240111_00092,-99.0,517.0,105,
CP_00_06240128_00150,-99.0,510.0,229,
CP_00_06241536_00092,-99.0,589.0,48,
CP_00_06250514_00092,-99.0,504.0,48,
CP_00_06250820_00092,-99.0,757.0,50,
CP_00_06251652_00090,-222.0,556.0,49,
CP_00_06261453_00093,-141.0,539.0,49,
CP_00_06261522_00094,-206.0,587.0,50,
CP_00_06261649_00092,-99.0,574.0,53,
CP_00_06261750_00091,-145.0,612.0,51,
CP_00_06271700_00088,-252.0,674.0,330,
CP_00_06271821_00087,-279.0,690.0,70,
CP_00_06271917_00088,-238.0,607.0,66,
CP_00_06280012_00092,-99.0,570.0,88,
CP_00_06280032_00093,-191.0,680.0,183,
CP_00_06280243_00088,-251.0,580.0,73,
CP_00_06280411_00023,-288.0,572.0,110,
CP_00_06280527_00090,-99.0,583.0,66,
CP_00_06280633_00150,-99.0,532.0,64,
CP_00_06280928_00092,-99.0,670.0,127,
CP_00_06281558_00091,-297.0,668.0,76,
CP_00_06281716_00097,-198.0,595.0,49,
CP_00_06282055_00093,-161.0,582.0,49,
CP_00_06282343_00023,-238.0,577.0,78,
CP_00_06290026_00092,-99.0,583.0,115,
CP_00_06290756_00093,-180.0,564.0,51,
CP_00_06290841_00092,-99.0,567.0,70,
CP_00_06291017_00150,-99.0,540.0,50,
CP_00_06291602_00087,-164.0,610.0,52,
CP_00_06291610_00094,-185.0,512.0,49,
CP_00_06291743_00092,-99.0,532.0,52,
CP_00_06300207_00150,-99.0,523.0,111,
CP_00_06300228_00090,-152.0,558.0,48,
CP_00_06300338_00092,-99.0,528.0,70,
CP_00_06300426_00092,-99.0,589.0,48,
CP_00_06300907_00090,-156.0,561.0,87,
CP_00_06301210_00093,-222.0,540.0,49,
CP_00_06301456_00150,-99.0,531.0,51,
CP_00_06301607_00090,-169.0,560.0,48,
CP_00_06301831_00090,-213.0,621.0,320,
CP_00_06302034_00091,-232.0,628.0,57,
CP_00_06302115_00092,-99.0,562.0,76,
CP_00_06302213_00093,-161.0,550.0,49,
CP_00_07010329_00087,-266.0,588.0,158,
CP_00_07010745_00090,-143.0,547.0,76,
CP_00_07010910_00092,-99.0,592.0,75,
CP_00_07010915_00093,-200.0,558.0,59,
CP_00_07011126_00093,-213.0,497.0,49,
CP_00_07011223_00091,-310.0,533.0,50,
CP_00_07011423_00150,-99.0,490.0,75,
CP_00_07011504_00092,-99.0,540.0,49,
CP_00_07011907_00093,-209.0,567.0,149,
CP_00_07012342_00093,-156.0,489.0,49,
CP_00_07020037_00090,-244.0,556.0,115,
CP_00_07020111_00093,-209.0,550.0,90,
CP_00_07020119_00092,-99.0,566.0,60,
CP_00_07021008_00093,-215.0,650.0,242,
CP_00_07021017_00090,-213.0,553.0,183,
CP_00_07021242_00092,-99.0,600.0,99,
CP_00_07021423_00094,-162.0,553.0,79,
CP_00_07021450_00092,-99.0,650.0,49,
CP_00_07021537_00038,-118.0,611.0,49,
CP_00_07021704_00150,-99.0,547.0,375,
CP_00_07022019_00092,-99.0,538.0,97,
CP_00_07022034_00088,-288.0,578.0,92,
CP_00_07030652_00092,-99.0,520.0,112,
CP_00_07030716_00090,-169.0,497.0,47,
CP_00_07030927_00092,-99.0,540.0,67,
CP_00_07031728_00090,-189.0,588.0,58,
CP_00_07032017_00093,-213.0,502.0,136,
CP_00_07032354_00092,-99.0,530.0,49,
CP_00_07041112_00092,-99.0,580.0,64,
CP_00_07041256_00092,-99.0,570.0,48,
CP_00_07041347_00087,-236.0,635.0,63,
CP_00_07041353_00093,-255.0,580.0,97,
CP_00_07041942_00090,-187.0,546.0,81,
CP_00_07042109_00091,-251.0,532.0,51,
CP_00_07042233_00092,-99.0,589.0,71,
CP_00_07042251_00087,-205.0,598.0,51,
CP_00_07050030_00088,-232.0,577.0,186,
CP_00_07050333_00090,-223.0,563.0,108,
CP_00_07050520_00091,-240.0,505.0,63,
CP_00_07050547_00150,-99.0,505.0,50,
CP_00_07050704_00092,-99.0,542.0,119,
CP_00_07050746_00093,-165.0,538.0,49,
CP_00_07050912_00090,-205.0,562.0,64,
CP_00_07051053_00093,-227.0,578.0,50,
CP_00_07051144_00092,-99.0,560.0,74,
CP_00_07051500_00087,-266.0,648.0,114,
CP_00_07051624_00090,-187.0,610.0,105,
CP_00_07051954_00093,-209.0,529.0,74,
CP_00_07052012_00088,-209.0,490.0,52,
CP_00_07052049_00090,-209.0,525.0,101,
CP_00_07052056_00092,-99.0,560.0,123,
CP_00_07052224_00092,-99.0,571.0,164,
CP_00_07060156_00093,-174.0,533.0,215,
CP_00_07060741_00090,-152.0,642.0,60,
CP_00_07060745_00090,-223.0,538.0,123,
CP_00_07060834_00093,-213.0,594.0,95,
CP_00_07061135_00087,-232.0,589.0,51,
CP_00_07061259_00097,-222.0,563.0,133,
CP_00_07061404_00088,-244.0,713.0,83,
CP_00_07061421_00094,-185.0,542.0,112,
CP_00_07061928_00093,-163.0,642.0,54,
CP_00_07061940_00090,-156.0,695.0,54,
CP_00_07062230_00091,-174.0,491.0,51,
CP_00_07070124_00088,-217.0,625.0,53,
CP_00_07070336_00091,-235.0,558.0,128,
CP_00_07070617_00088,-248.0,743.0,53,
CP_00_07070706_00090,-196.0,510.0,56,
CP_00_07071105_00087,-301.0,666.0,52,
CP_00_07071332_00093,-156.0,536.0,62,
CP_00_07071525_00092,-99.0,554.0,52,
CP_00_07071607_00091,-245.0,606.0,64,
CP_00_07071618_00088,-222.0,663.0,51,
CP_00_07071730_00092,-99.0,579.0,52,
CP_00_07072110_00090,-227.0,538.0,63,
CP_00_07081236_00090,-198.0,478.0,47,
CP_00_07081247_00092,-99.0,509.0,50,
CP_00_07081748_00092,-99.0,560.0,49,
CP_00_07081750_00097,-213.0,559.0,50,
CP_00_07081927_00088,-257.0,554.0,71,
CP_00_07090157_00090,-191.0,562.0,53,
CP_00_07090504_00087,-240.0,575.0,71,
CP_00_07091352_00088,-301.0,625.0,92,
CP_00_07091425_00091,-231.0,497.0,77,
CP_00_07091507_00093,-174.0,569.0,49,
CP_00_07091813_00088,-228.0,601.0,95,
CP_00_07091823_00090,-271.0,545.0,98,
CP_00_07092339_00090,-271.0,530.0,115,
CP_00_07100325_00093,-227.0,475.0,86,
CP_00_07100542_00092,-99.0,512.0,78,
CP_00_07101919_00094,-231.0,510.0,49,
CP_00_07110514_00090,-222.0,501.0,73,
CP_00_07110757_00087,-235.0,539.0,90,
CP_00_07110817_00023,-261.0,562.0,127,
CP_00_07110856_00088,-271.0,525.0,70,
CP_00_07111251_00091,-192.0,472.0,55,
CP_00_07111404_00093,-244.0,544.0,49,
CP_00_07111803_00092,-99.0,510.0,49,
CP_00_07112051_00090,-198.0,569.0,79,
CP_00_07112350_00091,-236.0,519.0,71,
CP_00_07120129_00074,-260.0,577.0,91,
CP_00_07121304_00023,-258.0,532.0,53,
CP_00_07121623_00090,-167.0,573.0,47,
CP_00_07121636_00092,-99.0,530.0,48,
CP_00_07130006_00092,-99.0,505.0,100,
CP_00_07130145_00088,-183.0,578.0,77,
CP_00_07130214_00093,-170.0,567.0,49,
CP_00_07130505_00087,-255.0,590.0,52,
CP_00_07131406_00097,-183.0,662.0,49,
CP_00_07131616_00092,-99.0,563.0,49,
CP_00_07131637_00093,-211.0,612.0,49,
CP_00_07140550_00093,-178.0,505.0,49,
CP_00_07140656_00090,-200.0,635.0,89,
CP_00_07141603_00088,-205.0,668.0,58,
CP_00_07141614_00087,-198.0,642.0,77,
CP_00_07141853_00092,-99.0,568.0,62,
CP_00_07150458_00091,-214.0,524.0,52,
CP_00_07150614_00094,-180.0,592.0,96,
CP_00_07151028_00088,-202.0,554.0,52,
CP_00_07151316_00091,-271.0,619.0,67,
CP_00_07151435_00150,-99.0,562.0,67,
CP_00_07151635_00156,-292.0,639.0,49,
CP_00_07151702_00092,-99.0,620.0,53,
CP_00_07151824_00092,-99.0,586.0,52,
CP_00_07151859_00088,-230.0,668.0,56,
CP_00_07160320_00092,-99.0,540.0,49,
CP_00_07160728_00094,-200.0,558.0,50,
CP_00_07161314_00093,-154.0,529.0,49,
CP_00_07170452_00094,-172.0,589.0,75,
CP_00_07170502_00087,-251.0,593.0,94,
CP_00_07170938_00088,-242.0,563.0,91,
CP_00_07171113_00150,-99.0,500.0,65,
CP_00_07171346_00090,-224.0,553.0,48,
CP_00_07171741_00117,-99.0,554.0,46,
CP_00_07171912_00088,-232.0,601.0,51,
CP_00_07171949_00087,-273.0,571.0,57,
CP_00_07172153_00087,-277.0,600.0,396,
CP_00_07180028_00091,-257.0,524.0,126,
CP_00_07181232_00090,-236.0,664.0,83,
CP_00_07181532_00092,-99.0,593.0,49,
CP_00_07181542_00093,-183.0,654.0,49,
CP_00_07181940_00093,-230.0,533.0,49,
CP_00_07182256_00090,-197.0,618.0,47,
CP_00_07190109_00088,-249.0,524.0,118,
CP_00_07190114_00093,-207.0,545.0,50,
CP_00_07190249_00023,-231.0,542.0,85,
CP_00_07190557_00090,-209.0,573.0,74,
CP_00_07191255_00093,-200.0,551.0,56,
CP_00_07191331_00092,-99.0,594.0,139,
CP_00_07191426_00094,-244.0,594.0,79,
CP_00_07200336_00091,-147.0,502.0,58,
CP_00_07200449_00092,-99.0,511.0,51,
CP_00_07201828_00090,-165.0,600.0,51,
CP_00_07211602_00092,-99.0,630.0,53,
CP_00_07221307_00092,-99.0,554.0,67,
CP_00_07221529_00091,-218.0,528.0,53,
CP_00_07231419_00087,-242.0,732.0,53,
CP_00_07231744_00088,-148.0,577.0,53,
CP_00_07231855_00074,-255.0,679.0,82,
CP_00_07241243_00090,-161.0,575.0,87,
CP_00_07241328_00023,-202.0,607.0,53,
CP_00_07241511_00074,-343.0,749.0,72,
CP_00_07251146_00023,-271.0,667.0,62,
CP_00_07251151_00091,-290.0,624.0,124,
CP_00_07251600_00090,-165.0,569.0,48,
CP_00_07261027_00094,-200.0,511.0,49,
CP_00_07261147_00092,-99.0,600.0,129,
CP_00_07261625_00088,-253.0,712.0,118,
CP_00_07261714_00093,-250.0,649.0,78,
CP_00_07261759_00092,-99.0,650.0,79,
CP_00_07261803_00087,-279.0,660.0,110,
CP_00_07262355_00091,-230.0,619.0,64,
CP_00_07270135_00090,-244.0,602.0,48,
CP_00_07270242_00088,-244.0,613.0,52,
CP_00_07270433_00087,-255.0,550.0,67,
CP_00_07271200_00087,-239.0,625.0,51,
CP_00_07271619_00090,-187.0,616.0,61,
CP_00_07271826_00087,-213.0,629.0,66,
CP_00_07272229_00091,-183.0,595.0,52,
CP_00_07272327_00093,-158.0,541.0,49,
CP_00_07272328_00090,-271.0,600.0,48,
CP_00_07280515_00092,-99.0,607.0,86,
CP_00_07281327_00087,-244.0,499.0,71,
CP_00_07281539_00090,-203.0,614.0,69,
CP_00_07281638_00088,-213.0,706.0,52,
CP_00_07291542_00087,-266.0,636.0,51,
CP_00_07301140_00088,-301.0,696.0,81,
CP_00_07301435_00117,-99.0,607.0,78,
CP_00_07301529_00092,-99.0,565.0,50,
CP_00_07301531_00088,-178.0,590.0,53,
CP_00_07301651_00092,-99.0,607.0,53,
CP_00_07301652_00093,-253.0,628.0,50,
CP_00_07302232_00087,-178.0,523.0,51,
CP_00_07310244_00088,-284.0,592.0,117,
